"source","population","temperature","country","weeks_survived","survived","exp_length","sample_size","experiment_index","population_index"
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Senegal",0,0,15,,1,1
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
,,4,"Zimbabwe",0,0,15,,2,2
